,Cell,assigned_cluster
93,mouse1_lib1.final_cell_0094,beta
94,mouse1_lib1.final_cell_0095,ductal
95,mouse1_lib1.final_cell_0096,delta
96,mouse1_lib1.final_cell_0097,beta
97,mouse1_lib1.final_cell_0098,ductal
98,mouse1_lib1.final_cell_0099,ductal
99,mouse1_lib1.final_cell_0100,endothelial
100,mouse1_lib1.final_cell_0101,beta
101,mouse1_lib1.final_cell_0102,endothelial
102,mouse1_lib1.final_cell_0103,beta
103,mouse1_lib1.final_cell_0104,ductal
104,mouse1_lib1.final_cell_0105,quiescent_stellate
105,mouse1_lib1.final_cell_0106,beta
106,mouse1_lib1.final_cell_0107,quiescent_stellate
107,mouse1_lib1.final_cell_0108,beta
108,mouse1_lib1.final_cell_0109,beta
109,mouse1_lib1.final_cell_0110,quiescent_stellate
110,mouse1_lib1.final_cell_0111,delta
111,mouse1_lib1.final_cell_0112,macrophage
112,mouse1_lib1.final_cell_0113,beta
113,mouse1_lib1.final_cell_0114,beta
114,mouse1_lib1.final_cell_0115,endothelial
115,mouse1_lib1.final_cell_0116,macrophage
116,mouse1_lib1.final_cell_0117,beta
117,mouse1_lib1.final_cell_0118,beta
118,mouse1_lib1.final_cell_0119,beta
119,mouse1_lib1.final_cell_0120,endothelial
120,mouse1_lib1.final_cell_0121,beta
121,mouse1_lib1.final_cell_0122,delta
122,mouse1_lib1.final_cell_0123,beta
123,mouse1_lib1.final_cell_0124,macrophage
124,mouse1_lib1.final_cell_0125,beta
125,mouse1_lib1.final_cell_0126,quiescent_stellate
126,mouse1_lib1.final_cell_0127,ductal
127,mouse1_lib1.final_cell_0128,beta
128,mouse1_lib1.final_cell_0129,beta
129,mouse1_lib1.final_cell_0130,beta
130,mouse1_lib1.final_cell_0131,beta
131,mouse1_lib1.final_cell_0132,beta
132,mouse1_lib1.final_cell_0133,ductal
133,mouse1_lib1.final_cell_0134,beta
134,mouse1_lib1.final_cell_0135,ductal
135,mouse1_lib1.final_cell_0136,delta
136,mouse1_lib1.final_cell_0137,beta
137,mouse1_lib1.final_cell_0138,beta
138,mouse1_lib1.final_cell_0139,alpha
139,mouse1_lib1.final_cell_0140,ductal
140,mouse1_lib1.final_cell_0141,beta
141,mouse1_lib1.final_cell_0142,beta
142,mouse1_lib1.final_cell_0143,beta
143,mouse1_lib1.final_cell_0144,beta
144,mouse1_lib1.final_cell_0145,endothelial
145,mouse1_lib1.final_cell_0146,delta
146,mouse1_lib1.final_cell_0147,beta
147,mouse1_lib1.final_cell_0148,beta
148,mouse1_lib1.final_cell_0149,beta
149,mouse1_lib1.final_cell_0150,beta
150,mouse1_lib1.final_cell_0151,ductal
151,mouse1_lib1.final_cell_0152,beta
152,mouse1_lib1.final_cell_0153,ductal
153,mouse1_lib1.final_cell_0154,beta
154,mouse1_lib1.final_cell_0155,ductal
155,mouse1_lib1.final_cell_0156,delta
156,mouse1_lib1.final_cell_0157,endothelial
157,mouse1_lib1.final_cell_0158,beta
158,mouse1_lib1.final_cell_0159,ductal
159,mouse1_lib1.final_cell_0160,macrophage
160,mouse1_lib1.final_cell_0161,delta
161,mouse1_lib1.final_cell_0162,immune_other
162,mouse1_lib1.final_cell_0163,beta
163,mouse1_lib1.final_cell_0164,beta
164,mouse1_lib1.final_cell_0165,ductal
165,mouse1_lib1.final_cell_0166,delta
166,mouse1_lib1.final_cell_0167,gamma
167,mouse1_lib1.final_cell_0168,beta
168,mouse1_lib1.final_cell_0169,beta
169,mouse1_lib1.final_cell_0170,beta
170,mouse1_lib1.final_cell_0171,beta
171,mouse1_lib1.final_cell_0172,beta
172,mouse1_lib1.final_cell_0173,beta
173,mouse1_lib1.final_cell_0174,beta
174,mouse1_lib1.final_cell_0175,ductal
175,mouse1_lib1.final_cell_0176,ductal
176,mouse1_lib1.final_cell_0177,beta
177,mouse1_lib1.final_cell_0178,ductal
178,mouse1_lib1.final_cell_0179,beta
179,mouse1_lib1.final_cell_0180,beta
180,mouse1_lib1.final_cell_0181,beta
181,mouse1_lib1.final_cell_0182,endothelial
182,mouse1_lib1.final_cell_0183,ductal
183,mouse1_lib1.final_cell_0184,ductal
184,mouse1_lib1.final_cell_0185,ductal
185,mouse1_lib1.final_cell_0186,beta
186,mouse1_lib1.final_cell_0187,endothelial
187,mouse1_lib1.final_cell_0188,endothelial
188,mouse1_lib1.final_cell_0189,gamma
189,mouse1_lib1.final_cell_0190,beta
190,mouse1_lib1.final_cell_0191,beta
191,mouse1_lib1.final_cell_0192,ductal
192,mouse1_lib1.final_cell_0193,ductal
193,mouse1_lib1.final_cell_0194,ductal
194,mouse1_lib1.final_cell_0195,quiescent_stellate
195,mouse1_lib1.final_cell_0196,beta
196,mouse1_lib1.final_cell_0197,beta
197,mouse1_lib1.final_cell_0198,beta
198,mouse1_lib1.final_cell_0199,beta
199,mouse1_lib1.final_cell_0200,ductal
200,mouse1_lib1.final_cell_0201,ductal
201,mouse1_lib1.final_cell_0202,ductal
202,mouse1_lib1.final_cell_0203,endothelial
203,mouse1_lib1.final_cell_0204,endothelial
204,mouse1_lib1.final_cell_0205,delta
205,mouse1_lib1.final_cell_0206,beta
206,mouse1_lib1.final_cell_0207,quiescent_stellate
207,mouse1_lib1.final_cell_0208,endothelial
208,mouse1_lib1.final_cell_0209,beta
209,mouse1_lib1.final_cell_0210,ductal
210,mouse1_lib1.final_cell_0211,beta
211,mouse1_lib1.final_cell_0212,delta
212,mouse1_lib1.final_cell_0213,beta
213,mouse1_lib1.final_cell_0214,beta
214,mouse1_lib1.final_cell_0215,ductal
215,mouse1_lib1.final_cell_0216,beta
216,mouse1_lib1.final_cell_0217,delta
217,mouse1_lib1.final_cell_0218,beta
218,mouse1_lib1.final_cell_0219,beta
219,mouse1_lib1.final_cell_0220,delta
220,mouse1_lib1.final_cell_0221,ductal
221,mouse1_lib1.final_cell_0222,activated_stellate
222,mouse1_lib1.final_cell_0223,beta
223,mouse1_lib1.final_cell_0224,beta
224,mouse1_lib1.final_cell_0225,delta
225,mouse1_lib1.final_cell_0226,delta
226,mouse1_lib1.final_cell_0227,ductal
227,mouse1_lib1.final_cell_0228,gamma
228,mouse1_lib1.final_cell_0229,beta
229,mouse1_lib1.final_cell_0230,beta
230,mouse1_lib1.final_cell_0231,gamma
231,mouse1_lib1.final_cell_0232,ductal
232,mouse1_lib1.final_cell_0233,endothelial
233,mouse1_lib1.final_cell_0234,quiescent_stellate
234,mouse1_lib1.final_cell_0235,endothelial
235,mouse1_lib1.final_cell_0236,ductal
236,mouse1_lib1.final_cell_0237,quiescent_stellate
237,mouse1_lib1.final_cell_0238,ductal
238,mouse1_lib1.final_cell_0239,ductal
239,mouse1_lib1.final_cell_0240,beta
240,mouse1_lib1.final_cell_0241,beta
241,mouse1_lib1.final_cell_0242,delta
242,mouse1_lib1.final_cell_0243,beta
243,mouse1_lib1.final_cell_0244,ductal
244,mouse1_lib1.final_cell_0245,delta
245,mouse1_lib1.final_cell_0246,delta
246,mouse1_lib1.final_cell_0247,beta
247,mouse1_lib1.final_cell_0248,beta
248,mouse1_lib1.final_cell_0249,ductal
249,mouse1_lib1.final_cell_0250,ductal
250,mouse1_lib1.final_cell_0251,endothelial
251,mouse1_lib1.final_cell_0252,beta
252,mouse1_lib1.final_cell_0253,quiescent_stellate
253,mouse1_lib1.final_cell_0254,delta
254,mouse1_lib1.final_cell_0255,ductal
255,mouse1_lib1.final_cell_0256,ductal
256,mouse1_lib1.final_cell_0257,beta
257,mouse1_lib1.final_cell_0258,ductal
258,mouse1_lib1.final_cell_0259,beta
259,mouse1_lib1.final_cell_0260,ductal
260,mouse1_lib1.final_cell_0261,ductal
261,mouse1_lib1.final_cell_0262,ductal
262,mouse1_lib1.final_cell_0263,B_cell
263,mouse1_lib1.final_cell_0264,ductal
264,mouse1_lib1.final_cell_0265,T_cell
265,mouse1_lib1.final_cell_0266,ductal
266,mouse1_lib1.final_cell_0267,ductal
267,mouse1_lib1.final_cell_0268,beta
268,mouse1_lib1.final_cell_0269,ductal
269,mouse1_lib1.final_cell_0270,beta
270,mouse1_lib1.final_cell_0271,ductal
271,mouse1_lib1.final_cell_0272,ductal
272,mouse1_lib1.final_cell_0273,ductal
273,mouse1_lib1.final_cell_0274,ductal
274,mouse1_lib1.final_cell_0275,endothelial
275,mouse1_lib1.final_cell_0276,endothelial
276,mouse1_lib1.final_cell_0277,ductal
277,mouse1_lib2.final_cell_0001,beta
278,mouse1_lib2.final_cell_0002,schwann
279,mouse1_lib2.final_cell_0003,delta
280,mouse1_lib2.final_cell_0004,alpha
281,mouse1_lib2.final_cell_0005,beta
282,mouse1_lib2.final_cell_0006,beta
283,mouse1_lib2.final_cell_0007,ductal
284,mouse1_lib2.final_cell_0008,beta
285,mouse1_lib2.final_cell_0009,alpha
286,mouse1_lib2.final_cell_0010,schwann
287,mouse1_lib2.final_cell_0011,ductal
288,mouse1_lib2.final_cell_0012,ductal
289,mouse1_lib2.final_cell_0013,ductal
290,mouse1_lib2.final_cell_0014,quiescent_stellate
291,mouse1_lib2.final_cell_0015,beta
292,mouse1_lib2.final_cell_0016,ductal
293,mouse1_lib2.final_cell_0017,ductal
294,mouse1_lib2.final_cell_0018,endothelial
295,mouse1_lib2.final_cell_0019,beta
296,mouse1_lib2.final_cell_0020,ductal
297,mouse1_lib2.final_cell_0021,ductal
298,mouse1_lib2.final_cell_0022,ductal
299,mouse1_lib2.final_cell_0023,ductal
300,mouse1_lib2.final_cell_0024,ductal
301,mouse1_lib2.final_cell_0025,beta
302,mouse1_lib2.final_cell_0026,ductal
303,mouse1_lib2.final_cell_0027,ductal
304,mouse1_lib2.final_cell_0028,ductal
305,mouse1_lib2.final_cell_0029,ductal
306,mouse1_lib2.final_cell_0030,ductal
307,mouse1_lib2.final_cell_0031,endothelial
308,mouse1_lib2.final_cell_0032,beta
309,mouse1_lib2.final_cell_0033,beta
310,mouse1_lib2.final_cell_0034,beta
311,mouse1_lib2.final_cell_0035,endothelial
312,mouse1_lib2.final_cell_0036,ductal
313,mouse1_lib2.final_cell_0037,beta
314,mouse1_lib2.final_cell_0038,beta
315,mouse1_lib2.final_cell_0039,beta
316,mouse1_lib2.final_cell_0040,ductal
317,mouse1_lib2.final_cell_0041,beta
318,mouse1_lib2.final_cell_0042,beta
319,mouse1_lib2.final_cell_0043,ductal
320,mouse1_lib2.final_cell_0044,beta
321,mouse1_lib2.final_cell_0045,ductal
322,mouse1_lib2.final_cell_0046,endothelial
323,mouse1_lib2.final_cell_0047,ductal
324,mouse1_lib2.final_cell_0048,endothelial
325,mouse1_lib2.final_cell_0049,beta
326,mouse1_lib2.final_cell_0050,endothelial
327,mouse1_lib2.final_cell_0051,ductal
328,mouse1_lib2.final_cell_0052,ductal
329,mouse1_lib2.final_cell_0053,beta
330,mouse1_lib2.final_cell_0054,ductal
331,mouse1_lib2.final_cell_0055,endothelial
332,mouse1_lib2.final_cell_0056,endothelial
333,mouse1_lib2.final_cell_0057,immune_other
334,mouse1_lib2.final_cell_0058,beta
335,mouse1_lib2.final_cell_0059,ductal
336,mouse1_lib2.final_cell_0060,beta
337,mouse1_lib2.final_cell_0061,beta
338,mouse1_lib2.final_cell_0062,beta
339,mouse1_lib2.final_cell_0063,beta
340,mouse1_lib2.final_cell_0064,delta
341,mouse1_lib2.final_cell_0065,beta
342,mouse1_lib2.final_cell_0066,ductal
343,mouse1_lib2.final_cell_0067,beta
344,mouse1_lib2.final_cell_0068,ductal
345,mouse1_lib2.final_cell_0069,endothelial
346,mouse1_lib2.final_cell_0070,beta
347,mouse1_lib2.final_cell_0071,ductal
348,mouse1_lib2.final_cell_0072,ductal
349,mouse1_lib2.final_cell_0073,beta
350,mouse1_lib2.final_cell_0074,beta
351,mouse1_lib2.final_cell_0075,beta
352,mouse1_lib2.final_cell_0076,beta
353,mouse1_lib2.final_cell_0077,ductal
354,mouse1_lib2.final_cell_0078,endothelial
355,mouse1_lib2.final_cell_0079,macrophage
356,mouse1_lib2.final_cell_0080,beta
357,mouse1_lib2.final_cell_0081,ductal
358,mouse1_lib2.final_cell_0082,beta
359,mouse1_lib2.final_cell_0083,ductal
360,mouse1_lib2.final_cell_0084,beta
361,mouse1_lib2.final_cell_0085,beta
362,mouse1_lib2.final_cell_0086,delta
363,mouse1_lib2.final_cell_0087,beta
364,mouse1_lib2.final_cell_0088,macrophage
365,mouse1_lib2.final_cell_0089,beta
366,mouse1_lib2.final_cell_0090,beta
367,mouse1_lib2.final_cell_0091,beta
368,mouse1_lib2.final_cell_0092,beta
369,mouse1_lib2.final_cell_0093,quiescent_stellate
370,mouse1_lib2.final_cell_0094,beta
371,mouse1_lib2.final_cell_0095,endothelial
372,mouse1_lib2.final_cell_0096,beta
373,mouse1_lib2.final_cell_0097,beta
374,mouse1_lib2.final_cell_0098,beta
375,mouse1_lib2.final_cell_0099,macrophage
376,mouse1_lib2.final_cell_0100,ductal
377,mouse1_lib2.final_cell_0101,beta
378,mouse1_lib2.final_cell_0102,endothelial
379,mouse1_lib2.final_cell_0103,beta
380,mouse1_lib2.final_cell_0104,beta
381,mouse1_lib2.final_cell_0105,delta
382,mouse1_lib2.final_cell_0106,macrophage
383,mouse1_lib2.final_cell_0107,ductal
384,mouse1_lib2.final_cell_0108,beta
385,mouse1_lib2.final_cell_0109,beta
386,mouse1_lib2.final_cell_0110,ductal
387,mouse1_lib2.final_cell_0111,beta
388,mouse1_lib2.final_cell_0112,beta
389,mouse1_lib2.final_cell_0113,delta
390,mouse1_lib2.final_cell_0114,quiescent_stellate
391,mouse1_lib2.final_cell_0115,beta
392,mouse1_lib2.final_cell_0116,beta
393,mouse1_lib2.final_cell_0117,ductal
394,mouse1_lib2.final_cell_0118,beta
395,mouse1_lib2.final_cell_0119,endothelial
396,mouse1_lib2.final_cell_0120,beta
397,mouse1_lib2.final_cell_0121,delta
398,mouse1_lib2.final_cell_0122,beta
399,mouse1_lib2.final_cell_0123,delta
400,mouse1_lib2.final_cell_0124,endothelial
401,mouse1_lib2.final_cell_0125,beta
402,mouse1_lib2.final_cell_0126,beta
403,mouse1_lib2.final_cell_0127,ductal
404,mouse1_lib2.final_cell_0128,gamma
405,mouse1_lib2.final_cell_0129,gamma
406,mouse1_lib2.final_cell_0130,ductal
407,mouse1_lib2.final_cell_0131,beta
408,mouse1_lib2.final_cell_0132,endothelial
409,mouse1_lib2.final_cell_0133,beta
410,mouse1_lib2.final_cell_0134,beta
411,mouse1_lib2.final_cell_0135,delta
412,mouse1_lib2.final_cell_0136,ductal
413,mouse1_lib2.final_cell_0137,beta
414,mouse1_lib2.final_cell_0138,delta
415,mouse1_lib2.final_cell_0139,endothelial
416,mouse1_lib2.final_cell_0140,gamma
417,mouse1_lib2.final_cell_0141,ductal
418,mouse1_lib2.final_cell_0142,macrophage
419,mouse1_lib2.final_cell_0143,quiescent_stellate
420,mouse1_lib2.final_cell_0144,ductal
421,mouse1_lib2.final_cell_0145,beta
422,mouse1_lib2.final_cell_0146,beta
423,mouse1_lib2.final_cell_0147,beta
424,mouse1_lib2.final_cell_0148,beta
425,mouse1_lib2.final_cell_0149,beta
426,mouse1_lib2.final_cell_0150,delta
427,mouse1_lib2.final_cell_0151,ductal
428,mouse1_lib2.final_cell_0152,beta
429,mouse1_lib2.final_cell_0153,ductal
430,mouse1_lib2.final_cell_0154,delta
431,mouse1_lib2.final_cell_0155,delta
432,mouse1_lib2.final_cell_0156,beta
433,mouse1_lib2.final_cell_0157,beta
434,mouse1_lib2.final_cell_0158,endothelial
435,mouse1_lib2.final_cell_0159,beta
436,mouse1_lib2.final_cell_0160,delta
437,mouse1_lib2.final_cell_0161,beta
438,mouse1_lib2.final_cell_0162,delta
439,mouse1_lib2.final_cell_0163,beta
440,mouse1_lib2.final_cell_0164,alpha
441,mouse1_lib2.final_cell_0165,ductal
442,mouse1_lib2.final_cell_0166,beta
443,mouse1_lib2.final_cell_0167,quiescent_stellate
444,mouse1_lib2.final_cell_0168,ductal
445,mouse1_lib2.final_cell_0169,beta
446,mouse1_lib2.final_cell_0170,endothelial
447,mouse1_lib2.final_cell_0171,ductal
448,mouse1_lib2.final_cell_0172,beta
449,mouse1_lib2.final_cell_0173,beta
450,mouse1_lib2.final_cell_0174,beta
451,mouse1_lib2.final_cell_0175,beta
452,mouse1_lib2.final_cell_0176,beta
453,mouse1_lib2.final_cell_0177,beta
454,mouse1_lib2.final_cell_0178,beta
455,mouse1_lib2.final_cell_0179,endothelial
456,mouse1_lib2.final_cell_0180,beta
457,mouse1_lib2.final_cell_0181,ductal
458,mouse1_lib2.final_cell_0182,beta
459,mouse1_lib2.final_cell_0183,endothelial
460,mouse1_lib2.final_cell_0184,beta
461,mouse1_lib2.final_cell_0185,beta
462,mouse1_lib2.final_cell_0186,macrophage
463,mouse1_lib2.final_cell_0187,beta
464,mouse1_lib2.final_cell_0188,delta
465,mouse1_lib2.final_cell_0189,beta
466,mouse1_lib2.final_cell_0190,beta
467,mouse1_lib2.final_cell_0191,beta
468,mouse1_lib2.final_cell_0192,beta
469,mouse1_lib2.final_cell_0193,beta
470,mouse1_lib2.final_cell_0194,ductal
471,mouse1_lib2.final_cell_0195,beta
472,mouse1_lib2.final_cell_0196,beta
473,mouse1_lib2.final_cell_0197,beta
474,mouse1_lib2.final_cell_0198,gamma
475,mouse1_lib2.final_cell_0199,beta
476,mouse1_lib2.final_cell_0200,endothelial
477,mouse1_lib2.final_cell_0201,macrophage
478,mouse1_lib2.final_cell_0202,endothelial
479,mouse1_lib2.final_cell_0203,beta
480,mouse1_lib2.final_cell_0204,beta
481,mouse1_lib2.final_cell_0205,ductal
482,mouse1_lib2.final_cell_0206,endothelial
483,mouse1_lib2.final_cell_0207,beta
484,mouse1_lib2.final_cell_0208,beta
485,mouse1_lib2.final_cell_0209,beta
486,mouse1_lib2.final_cell_0210,delta
487,mouse1_lib2.final_cell_0211,beta
488,mouse1_lib2.final_cell_0212,quiescent_stellate
489,mouse1_lib2.final_cell_0213,delta
490,mouse1_lib2.final_cell_0214,beta
491,mouse1_lib2.final_cell_0215,beta
492,mouse1_lib2.final_cell_0216,beta
493,mouse1_lib2.final_cell_0217,quiescent_stellate
494,mouse1_lib2.final_cell_0218,delta
495,mouse1_lib2.final_cell_0219,ductal
496,mouse1_lib2.final_cell_0220,ductal
497,mouse1_lib2.final_cell_0221,beta
498,mouse1_lib2.final_cell_0222,beta
499,mouse1_lib2.final_cell_0223,endothelial
500,mouse1_lib2.final_cell_0224,beta
501,mouse1_lib2.final_cell_0225,beta
502,mouse1_lib2.final_cell_0226,delta
503,mouse1_lib2.final_cell_0227,quiescent_stellate
504,mouse1_lib2.final_cell_0228,gamma
505,mouse1_lib2.final_cell_0229,delta
506,mouse1_lib2.final_cell_0230,beta
507,mouse1_lib2.final_cell_0231,delta
508,mouse1_lib2.final_cell_0232,beta
509,mouse1_lib2.final_cell_0233,ductal
510,mouse1_lib2.final_cell_0234,ductal
511,mouse1_lib2.final_cell_0235,beta
512,mouse1_lib2.final_cell_0236,beta
513,mouse1_lib2.final_cell_0237,delta
514,mouse1_lib2.final_cell_0238,beta
515,mouse1_lib2.final_cell_0239,endothelial
516,mouse1_lib2.final_cell_0240,delta
517,mouse1_lib2.final_cell_0241,delta
518,mouse1_lib2.final_cell_0242,beta
519,mouse1_lib2.final_cell_0243,delta
520,mouse1_lib2.final_cell_0244,alpha
521,mouse1_lib2.final_cell_0245,quiescent_stellate
522,mouse1_lib2.final_cell_0246,beta
523,mouse1_lib2.final_cell_0247,gamma
524,mouse1_lib2.final_cell_0248,endothelial
525,mouse1_lib2.final_cell_0249,delta
526,mouse1_lib2.final_cell_0250,ductal
527,mouse1_lib2.final_cell_0251,ductal
528,mouse1_lib2.final_cell_0252,beta
529,mouse1_lib2.final_cell_0253,delta
530,mouse1_lib2.final_cell_0254,beta
531,mouse1_lib2.final_cell_0255,delta
532,mouse1_lib2.final_cell_0256,beta
533,mouse1_lib2.final_cell_0257,ductal
534,mouse1_lib2.final_cell_0258,endothelial
535,mouse1_lib2.final_cell_0259,endothelial
536,mouse1_lib2.final_cell_0260,ductal
537,mouse1_lib2.final_cell_0261,alpha
538,mouse1_lib2.final_cell_0262,delta
539,mouse1_lib2.final_cell_0263,delta
540,mouse1_lib2.final_cell_0264,beta
541,mouse1_lib2.final_cell_0265,beta
542,mouse1_lib2.final_cell_0266,endothelial
543,mouse1_lib2.final_cell_0267,beta
544,mouse1_lib2.final_cell_0268,beta
545,mouse1_lib2.final_cell_0269,activated_stellate
546,mouse1_lib2.final_cell_0270,delta
547,mouse1_lib2.final_cell_0271,ductal
548,mouse1_lib2.final_cell_0272,macrophage
549,mouse1_lib2.final_cell_0273,beta
550,mouse1_lib2.final_cell_0274,delta
551,mouse1_lib2.final_cell_0275,beta
552,mouse1_lib2.final_cell_0276,beta
553,mouse1_lib2.final_cell_0277,beta
554,mouse1_lib2.final_cell_0278,beta
555,mouse1_lib2.final_cell_0279,ductal
556,mouse1_lib2.final_cell_0280,ductal
557,mouse1_lib2.final_cell_0281,ductal
558,mouse1_lib2.final_cell_0282,ductal
559,mouse1_lib2.final_cell_0283,ductal
560,mouse1_lib2.final_cell_0284,ductal
561,mouse1_lib2.final_cell_0285,ductal
562,mouse1_lib2.final_cell_0286,ductal
563,mouse1_lib2.final_cell_0287,quiescent_stellate
564,mouse1_lib2.final_cell_0288,delta
565,mouse1_lib2.final_cell_0289,endothelial
566,mouse1_lib2.final_cell_0290,ductal
567,mouse1_lib2.final_cell_0291,endothelial
568,mouse1_lib3.final_cell_0001,beta
569,mouse1_lib3.final_cell_0002,beta
570,mouse1_lib3.final_cell_0003,ductal
571,mouse1_lib3.final_cell_0004,delta
572,mouse1_lib3.final_cell_0005,alpha
573,mouse1_lib3.final_cell_0006,endothelial
574,mouse1_lib3.final_cell_0007,beta
575,mouse1_lib3.final_cell_0008,ductal
576,mouse1_lib3.final_cell_0009,beta
577,mouse1_lib3.final_cell_0010,ductal
578,mouse1_lib3.final_cell_0011,ductal
579,mouse1_lib3.final_cell_0012,ductal
580,mouse1_lib3.final_cell_0013,ductal
581,mouse1_lib3.final_cell_0014,ductal
582,mouse1_lib3.final_cell_0015,ductal
583,mouse1_lib3.final_cell_0016,ductal
584,mouse1_lib3.final_cell_0017,ductal
585,mouse1_lib3.final_cell_0018,beta
586,mouse1_lib3.final_cell_0019,ductal
587,mouse1_lib3.final_cell_0020,gamma
588,mouse1_lib3.final_cell_0021,delta
589,mouse1_lib3.final_cell_0022,beta
590,mouse1_lib3.final_cell_0023,beta
591,mouse1_lib3.final_cell_0024,delta
592,mouse1_lib3.final_cell_0025,ductal
593,mouse1_lib3.final_cell_0026,delta
594,mouse1_lib3.final_cell_0027,quiescent_stellate
595,mouse1_lib3.final_cell_0028,ductal
596,mouse1_lib3.final_cell_0029,ductal
597,mouse1_lib3.final_cell_0030,endothelial
598,mouse1_lib3.final_cell_0031,ductal
599,mouse1_lib3.final_cell_0032,beta
600,mouse1_lib3.final_cell_0033,ductal
601,mouse1_lib3.final_cell_0034,ductal
602,mouse1_lib3.final_cell_0035,ductal
603,mouse1_lib3.final_cell_0036,ductal
604,mouse1_lib3.final_cell_0037,ductal
605,mouse1_lib3.final_cell_0038,delta
606,mouse1_lib3.final_cell_0039,beta
607,mouse1_lib3.final_cell_0040,beta
608,mouse1_lib3.final_cell_0041,ductal
609,mouse1_lib3.final_cell_0042,endothelial
610,mouse1_lib3.final_cell_0043,endothelial
611,mouse1_lib3.final_cell_0044,delta
